Match_Number,Type,Group,Venue,Date,Match_Refree,Umpire_1,Umpire_2,TV_Umpire,Reserve_Umpire,Team_1,Team_2,Toss,Inning_1,Inning_2,Winner,Win_By,Player_Of_The_Match
1,Group,A,Dallas,"June 01, 2024",Richie Richardson,Richard Illingworth,Sharfuddoula,Sam Nogajski,Langton Rusere,Canada,United States of America,United States of America,194/5,197/3,United States of America,7 wickets (with 14 balls remaining),Aaron Jones
2,Group,C,Providence,"June 02, 2024",Andy Pycroft,Adrian Holdstock,Rashid Riaz,Ahsan Raza,Kumar Dharmasena,Papua New Guinea,West Indies,West Indies,136/8,137/5,West Indies,5 wickets (with 6 balls remaining),Roston Chase
3,Group,B,Bridgetown,"June 02, 2024",Ranjan Madugalle,Jayaraman Madanagopal,Joel Wilson,Nitin Menon,Asif Yaqoob,Oman,Namibia,Namibia,109,109/6,Namibia,Super over,David Wiese
4,Group,D,New York,"June 03, 2024",Jeff Crowe,Chris Brown,Richard Kettleborough,Paul Reiffel,Alex Wharf,Sri Lanka,South Africa,Sri Lanka,77,80/4,South Africa,6 wickets (with 22 balls remaining),Anrich Nortje
5,Group,C,Providence,"June 03, 2024",Andy Pycroft,Ahsan Raza,Kumar Dharmasena,Adrian Holdstock,Rashid Riaz,Afghanistan,Uganda,Uganda,183/5,58,Afghanistan,125 runs,Fazalhaq Farooqi
6,Group,B,Bridgetown,"June 04, 2024",Ranjan Madugalle,Asif Yaqoob,Nitin Menon,Joel Wilson,Jayaraman Madanagopal,Scotland,England,Scotland,90/0,,,No result,
7,Group,D,Dallas,"June 04, 2024",Richie Richardson,Langton Rusere,Rod Tucker,Sharfuddoula,Richard Illingworth,Nepal,Netherlands,Netherlands,106,109/4,Netherlands,6 wickets (with 8 balls remaining),Tim Pringle
8,Group,A,New York,"June 05, 2024",David Boon,Alex Wharf,Chris Gaffaney,Richard Kettleborough,Chris Brown,Ireland,India,India,96,97/2,India,8 wickets (with 46 balls remaining),Jasprit Bumrah
9,Group,C,Providence,"June 05, 2024",Javagal Srinath,Adrian Holdstock,Rashid Riaz,Ahsan Raza,Kumar Dharmasena,Papua New Guinea,Uganda,Uganda,77,78/7,Uganda,3 wickets (with 10 balls remaining),Riazat Ali Shah
10,Group,B,Bridgetown,"June 05, 2024",Ranjan Madugalle,Asif Yaqoob,Joel Wilson,Jayaraman Madanagopal,Nitin Menon,Australia,Oman,Oman,164/5,125/9,Australia,39 runs,Marcus Stoinis
11,Group,A,Dallas,"June 06, 2024",Jeff Crowe,Allahuddien Paleker,Michael Gough,Paul Reiffel,Rod Tucker,Pakistan,United States of America,United States of America,159/7,159/3,United States of America,Super over,Monank Patel
12,Group,B,Bridgetown,"June 06, 2024",Andy Pycroft,Jayaraman Madanagopal,Nitin Menon,Asif Yaqoob,Joel Wilson,Namibia,Scotland,Namibia,155/9,157/5,Scotland,5 wickets (with 9 balls remaining),Michael Leask
13,Group,A,New York,"June 07, 2024",Richie Richardson,Richard Kettleborough,Sam Nogajski,Chris Brown,Chris Gaffaney,Canada,Ireland,Ireland,137/7,125/7,Canada,12 runs,Nicholas Kirton
14,Group,C,Providence,"June 07, 2024",Javagal Srinath,Ahsan Raza,Kumar Dharmasena,Rashid Riaz,Adrian Holdstock,Afghanistan,New Zealand,New Zealand,159/6,75,Afghanistan,84 runs,Rahmanullah Gurbaz
15,Group,D,Dallas,"June 07, 2024",Jeff Crowe,Michael Gough,Paul Reiffel,Allahuddien Paleker,Rod Tucker,Sri Lanka,Bangladesh,Bangladesh,124/9,125/8,Bangladesh,2 wickets (with 6 balls remaining),Rishad Hossain
16,Group,D,New York,"June 08, 2024",David Boon,Chris Gaffaney,Sharfuddoula,Richard Kettleborough,Sam Nogajski,Netherlands,South Africa,South Africa,103/9,106/6,South Africa,4 wickets (with 7 balls remaining),David Miller
17,Group,B,Bridgetown,"June 08, 2024",Andy Pycroft,Joel Wilson,Nitin Menon,Asif Yaqoob,Jayaraman Madanagopal,Australia,England,England,201/7,165/6,Australia,36 runs,Adam Zampa
18,Group,C,Providence,"June 08, 2024",Javagal Srinath,Kumar Dharmasena,Rashid Riaz,Adrian Holdstock,Ahsan Raza,West Indies,Uganda,West Indies,173/5,39,West Indies,134 runs,Akeal Hosein
