Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,false,false,true,22y 155d,Right hand Bat,,8,8,,281,226,80,35.12,124.33,,3,2,18,16,,,,,,,,,,,,,
Hazratullah Zazai,Afghanistan,Opening Batter,false,false,false,26y 39d,Left hand Bat,Slow Left arm Orthodox,1,1,,2,4,2,2.00,50.00,,,,0,0,,,,,,,,,,,,,
Ibrahim Zadran,Afghanistan,Opening Batter,false,false,false,22y 141d,Right hand Bat,Right arm Medium fast,8,8,,231,215,70,28.87,107.44,,2,1,25,4,,,,,,,,,,,,,
Mohammad Ishaq,Afghanistan,Wicketkeeper Batter,false,false,false,19y 90d,Right hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najibullah Zadran,Afghanistan,Middle order Batter,false,false,false,31y 73d,Left hand Bat,Right arm Offbreak,5,4,1,22,23,19,7.33,95.65,,,1,0,2,,,,,,,,,,,,,
Rashid Khan,Afghanistan,Bowling Allrounder,false,true,false,25y 224d,Right hand Bat,Legbreak Googly,8,7,2,57,46,19*,11.40,123.91,,,,5,4,8,29.0,,179,14,4/17,12.78,6.17,12.4,,,4,
Azmatullah Omarzai,Afghanistan,Allrounder,false,false,false,24y 38d,Right hand Bat,Right arm Medium fast,8,8,,111,102,26,13.87,108.82,,,,7,4,6,11.1,1,104,2,1/10,52.00,9.31,33.5,,,1,
Gulbadin Naib,Afghanistan,Batting Allrounder,false,false,false,32y 332d,Right hand Bat,Right arm Medium fast,8,8,1,90,86,49*,12.85,104.65,,,2,9,3,4,9.0,,47,7,4/20,6.71,5.22,7.7,,,5,
Karim Janat,Afghanistan,Bowling Allrounder,false,false,false,25y 264d,Right hand Bat,Right arm Medium,7,5,2,43,38,14,14.33,113.15,,,,2,2,,,,,,,,,,,,,
Mohammad Nabi,Afghanistan,Allrounder,false,false,false,39y 121d,Right hand Bat,Right arm Offbreak,8,8,3,56,70,16*,11.20,80.00,,,2,3,1,7,13.0,,88,3,2/16,29.33,6.76,26.0,,,6,
Nangeyalia Kharote,Afghanistan,Allrounder,false,false,false,20y 6d,Left hand Bat,Slow Left arm Orthodox,3,2,1,3,8,2,3.00,37.50,,,,0,0,,,,,,,,,,,,,
Fareed Ahmad,Afghanistan,Bowler,false,false,false,29y 265d,Left hand Bat,Left arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazalhaq Farooqi,Afghanistan,Bowler,false,false,false,23y 222d,Right hand Bat,Left arm Fast medium,8,3,3,6,5,4*,0.00,120.00,,,,1,0,8,25.2,,160,17,5/9,9.41,6.31,8.9,1,,1,
Naveen-ul-Haq,Afghanistan,Bowler,false,false,false,24y 221d,Right hand Bat,Right arm Medium fast,8,3,,6,15,4,2.00,40.00,,,1,1,0,8,26.4,,160,13,4/26,12.30,6.00,12.3,,,1,
Noor Ahmad,Afghanistan,Bowler,false,false,false,19y 119d,Right hand Bat,Left arm Wrist spin,7,3,,14,24,12,4.66,58.33,,,1,1,1,6,17.0,,98,1,1/14,98.00,5.76,102.0,,,2,
Mujeeb Ur Rahman,Afghanistan,Bowler,true,false,false,23y 34d,Right hand Bat,Right arm Offbreak,1,,,,0,,0.00,0.00,,,,0,0,1,3.0,,16,1,1/16,16.00,5.33,18.0,,,,
Tim David,Australia,Middle order Batter,false,false,false,28y 46d,Right hand Bat,Right arm Offbreak,7,5,1,61,41,24*,15.25,148.78,,,,5,3,,,,,,,,,,,,,
Travis Head,Australia,Top order Batter,false,false,false,30y 124d,Left hand Bat,Right arm Offbreak,7,7,1,255,161,76,42.50,158.38,,2,1,26,15,,,,,,,,,,,,,
Josh Inglis,Australia,Wicketkeeper Batter,false,false,false,29y 58d,Right hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Wade,Australia,Wicketkeeper Batter,false,false,false,36y 127d,Left hand Bat,Right arm Medium,7,4,2,27,24,17*,13.50,112.50,,,,3,0,,,,,,,,,,,,,
David Warner,Australia,Opening Batter,false,false,false,37y 187d,Left hand Bat,Legbreak,7,7,1,178,128,56,29.66,139.06,,2,,17,9,,,,,,,,,,,,,
Mitchell Marsh,Australia,Allrounder,false,true,false,32y 194d,Right hand Bat,Right arm Medium,7,7,1,125,107,37,20.83,116.82,,,,13,5,,,,,,,,,,,,,
Cameron Green,Australia,Batting Allrounder,false,false,false,24y 333d,Right hand Bat,Right arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,Australia,Batting Allrounder,false,false,false,35y 200d,Right hand Bat,Right arm Offbreak,7,6,1,132,93,59,26.40,141.93,,1,1,12,7,5,12.0,,103,3,2/44,34.33,8.58,24.0,,,7,
Marcus Stoinis,Australia,Batting Allrounder,false,false,false,34y 259d,Right hand Bat,Right arm Medium,7,5,1,169,103,67*,42.25,164.07,,2,,14,10,6,17.0,,151,10,3/19,15.10,8.88,10.2,,,1,
Ashton Agar,Australia,Bowler,false,false,false,30y 200d,Left hand Bat,Slow Left arm Orthodox,2,1,,2,5,2,2.00,40.00,,,,0,0,2,8.0,1,56,1,1/39,56.00,7.00,48.0,,,1,
Pat Cummins,Australia,Bowler,false,false,false,30y 359d,Right hand Bat,Right arm Fast,5,3,1,14,17,11*,7.00,82.35,,,1,0,1,5,19.0,1,144,9,3/28,16.00,7.57,12.6,,,1,
Nathan Ellis,Australia,Bowler,false,false,false,29y 222d,Right hand Bat,Right arm Fast medium,3,,,,0,,0.00,0.00,,,,0,0,3,11.0,1,74,4,2/28,18.50,6.72,16.5,,,1,
Josh Hazlewood,Australia,Bowler,false,false,false,33y 114d,Left hand Bat,Right arm Fast medium,6,1,1,5,7,5*,0.00,71.42,,,,0,0,6,24.0,1,145,4,2/18,36.25,6.04,36.0,,,4,
Mitchell Starc,Australia,Bowler,false,false,false,34y 92d,Left hand Bat,Left arm Fast,5,2,2,4,7,4*,0.00,57.14,,,,0,0,5,18.0,,154,5,2/20,30.80,8.55,21.6,,,4,
Adam Zampa,Australia,Bowler,false,false,false,32y 31d,Right hand Bat,Legbreak Googly,7,1,,9,7,9,9.00,128.57,,,,1,0,7,28.0,,187,13,4/12,14.38,6.67,12.9,,,2,
Najmul Hossain Shanto,Bangladesh,Top order Batter,false,true,false,25y 263d,Left hand Bat,Right arm Offbreak,7,7,,112,117,41,16.00,95.72,,,,7,5,,,,,,,,,,,,,
Jaker Ali,Bangladesh,Batter,false,false,false,26y 82d,Right hand Bat,,4,4,1,35,46,14*,11.66,76.08,,,,3,0,,,,,,,,,,,,,
Litton Das,Bangladesh,Wicketkeeper Batter,false,false,false,29y 214d,Right hand Bat,Right arm Offbreak,7,7,1,139,149,54*,23.16,93.28,,1,,12,3,,,,,,,,,,,,,
Tanzid Hasan,Bangladesh,Opening Batter,false,false,false,23y 165d,Left hand Bat,,7,7,,76,79,35,10.85,96.20,,,3,11,1,,,,,,,,,,,,,
Towhid Hridoy,Bangladesh,Top order Batter,false,false,false,23y 162d,Right hand Bat,Right arm Offbreak,7,7,,153,119,40,21.85,128.57,,,,9,8,,,,,,,,,,,,,
Mahedi Hasan,Bangladesh,Allrounder,false,false,false,29y 154d,Right hand Bat,Right arm Offbreak,2,2,1,5,5,5*,5.00,100.00,,,1,1,0,,,,,,,,,,,,,
Mahmudullah,Bangladesh,Allrounder,false,false,false,38y 100d,Right hand Bat,Right arm Offbreak,7,7,1,95,101,25,15.83,94.05,,,,8,3,5,9.0,,50,1,1/6,50.00,5.55,54.0,,,,
Shakib Al Hasan,Bangladesh,Allrounder,false,false,false,37y 51d,Left hand Bat,Slow Left arm Orthodox,7,7,1,111,104,64*,18.50,106.73,,1,1,12,1,6,17.2,,130,3,2/9,43.33,7.50,34.6,,,3,
Soumya Sarkar,Bangladesh,Batting Allrounder,false,false,false,31y 79d,Left hand Bat,Right arm Medium fast,2,2,,10,12,10,5.00,83.33,,,1,1,0,,,,,,,,,,,,,
Taskin Ahmed,Bangladesh,Bowler,false,false,true,29y 41d,Left hand Bat,Right arm Fast,6,5,3,28,33,13*,14.00,84.84,,,1,3,0,6,21.2,1,137,8,2/19,17.12,6.42,16.0,,,,
Mustafizur Rahman,Bangladesh,Bowler,false,false,false,28y 251d,Left hand Bat,Left arm Fast medium,7,2,,3,5,3,1.50,60.00,,,1,0,0,7,26.0,1,142,8,3/7,17.75,5.46,19.5,,,1,
Rishad Hossain,Bangladesh,Bowler,false,false,false,21y 304d,Right hand Bat,Legbreak Googly,7,6,1,40,26,24,8.00,153.84,,,1,2,4,7,25.0,,194,14,3/22,13.85,7.76,10.7,,,3,
Shoriful Islam,Bangladesh,Bowler,false,false,false,22y 346d,Left hand Bat,Left arm Medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanvir Islam,Bangladesh,Bowler,false,false,false,27y 202d,Left hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzim Hasan Sakib,Bangladesh,Bowler,false,false,false,21y 207d,Right hand Bat,Right arm Fast medium,7,5,3,12,23,4*,6.00,52.17,,,,0,0,7,24.0,2,149,11,4/7,13.54,6.20,13.0,,,6,
Navneet Dhaliwal,Canada,Middle order Batter,false,false,false,35y 205d,Right hand Bat,Right arm Medium fast,3,3,,71,61,61,23.66,116.39,,1,,8,3,,,,,,,,,,,,,
Aaron Johnson,Canada,Batter,false,false,false,33y 47d,Right hand Bat,Right arm Offbreak,3,3,,89,73,52,29.66,121.91,,1,,12,4,,,,,,,,,,,,,
Shreyas Movva,Canada,Wicketkeeper Batter,false,false,false,30y 241d,Right hand Bat,,3,3,1,71,61,37,35.50,116.39,,,,5,2,,,,,,,,,,,,,
Ravinderpal Singh,Canada,Batter,false,false,false,35y 201d,Right hand Bat,Right arm Offbreak,1,1,,,2,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Saad Bin Zafar,Canada,Allrounder,false,true,false,37y 174d,Left hand Bat,Slow Left arm Orthodox,3,2,1,11,22,10,11.00,50.00,,,,1,0,3,12.0,,87,1,1/22,87.00,7.25,72.0,,,,
Dilpreet Bajwa,Canada,Allrounder,false,false,false,21y 97d,Right hand Bat,Right arm Offbreak,2,2,,18,14,11,9.00,128.57,,,,2,1,,,,,,,,,,,,,
Junaid Siddiqui,Canada,Allrounder,false,false,false,39y 38d,Right hand Bat,Legbreak,2,,,,0,,0.00,0.00,,,,0,0,2,7.0,,55,1,1/27,55.00,7.85,42.0,,,1,
Nicholas Kirton,Canada,Batting Allrounder,false,false,false,25y 362d,Left hand Bat,,3,3,,101,72,51,33.66,140.27,,1,,6,4,,,,,,,,,,,,,
Pargat Singh,Canada,Allrounder,false,false,false,32y 19d,Right hand Bat,Right arm Offbreak,3,3,,25,27,18,8.33,92.59,,,,2,0,,,,,,,,,,,,,
Rayyan Pathan,Canada,Batting Allrounder,false,false,false,32y 148d,Right hand Bat,Right arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Thaker,Canada,Allrounder,true,false,false,26y 191d,Right hand Bat,Right arm Offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikhil Dutta,Canada,Bowler,false,false,false,29y 202d,Right hand Bat,Right arm Offbreak,1,,,,0,,0.00,0.00,,,,0,0,1,2.4,,41,1,1/41,41.00,15.37,16.0,,,,
Jeremy Gordon,Canada,Bowler,false,false,false,37y 103d,Right hand Bat,Right arm Fast medium,3,,,,0,,0.00,0.00,,,,0,0,3,10.3,,77,3,2/16,25.66,7.33,21.0,,,1,
Dilon Heyliger,Canada,Bowler,false,false,false,34y 194d,Right hand Bat,Right arm Medium,3,3,2,10,14,9*,10.00,71.42,,,1,1,0,3,11.0,,55,5,2/18,11.00,5.00,13.2,,,,
Rishiv Joshi,Canada,Bowler,false,false,false,23y 180d,Right hand Bat,Left arm Medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaleem Sana,Canada,Bowler,false,false,false,30y 122d,Right hand Bat,Left arm Medium fast,3,1,1,13,14,13*,0.00,92.85,,,,0,1,3,11.0,,93,1,1/34,93.00,8.45,66.0,,,,
