Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,false,false,true,,,
Hazratullah Zazai,Afghanistan,Opening Batter,false,false,false,,,
Ibrahim Zadran,Afghanistan,Opening Batter,false,false,false,,,
Mohammad Ishaq,Afghanistan,Wicketkeeper Batter,false,false,false,,,
Najibullah Zadran,Afghanistan,Middle order Batter,false,false,false,,,
Rashid Khan,Afghanistan,Bowling Allrounder,false,true,false,,,
Azmatullah Omarzai,Afghanistan,Allrounder,false,false,false,,,
Gulbadin Naib,Afghanistan,Batting Allrounder,false,false,false,,,
Karim Janat,Afghanistan,Bowling Allrounder,false,false,false,,,
Mohammad Nabi,Afghanistan,Allrounder,false,false,false,,,
Nangeyalia Kharote,Afghanistan,Allrounder,false,false,false,,,
Fareed Ahmad,Afghanistan,Bowler,false,false,false,,,
Fazalhaq Farooqi,Afghanistan,Bowler,false,false,false,,,
Naveen-ul-Haq,Afghanistan,Bowler,false,false,false,,,
Noor Ahmad,Afghanistan,Bowler,false,false,false,,,
Mujeeb Ur Rahman,Afghanistan,Bowler,true,false,false,,,
Tim David,Australia,Middle order Batter,false,false,false,,,
Travis Head,Australia,Top order Batter,false,false,false,,,
Josh Inglis,Australia,Wicketkeeper Batter,false,false,false,,,
Matthew Wade,Australia,Wicketkeeper Batter,false,false,false,,,
David Warner,Australia,Opening Batter,false,false,false,,,
Mitchell Marsh,Australia,Allrounder,false,true,false,,,
Cameron Green,Australia,Batting Allrounder,false,false,false,,,
Glenn Maxwell,Australia,Batting Allrounder,false,false,false,,,
Marcus Stoinis,Australia,Batting Allrounder,false,false,false,,,
Ashton Agar,Australia,Bowler,false,false,false,,,
Pat Cummins,Australia,Bowler,false,false,false,,,
Nathan Ellis,Australia,Bowler,false,false,false,,,
Josh Hazlewood,Australia,Bowler,false,false,false,,,
Mitchell Starc,Australia,Bowler,false,false,false,,,
Adam Zampa,Australia,Bowler,false,false,false,,,
Najmul Hossain Shanto,Bangladesh,Top order Batter,false,true,false,,,
Jaker Ali,Bangladesh,Batter,false,false,false,,,
Litton Das,Bangladesh,Wicketkeeper Batter,false,false,false,,,
Tanzid Hasan,Bangladesh,Opening Batter,false,false,false,,,
Towhid Hridoy,Bangladesh,Top order Batter,false,false,false,,,
Mahedi Hasan,Bangladesh,Allrounder,false,false,false,,,
Mahmudullah,Bangladesh,Allrounder,false,false,false,,,
Shakib Al Hasan,Bangladesh,Allrounder,false,false,false,,,
Soumya Sarkar,Bangladesh,Batting Allrounder,false,false,false,,,
Taskin Ahmed,Bangladesh,Bowler,false,false,true,,,
Mustafizur Rahman,Bangladesh,Bowler,false,false,false,,,
Rishad Hossain,Bangladesh,Bowler,false,false,false,,,
Shoriful Islam,Bangladesh,Bowler,false,false,false,,,
Tanvir Islam,Bangladesh,Bowler,false,false,false,,,
Tanzim Hasan Sakib,Bangladesh,Bowler,false,false,false,,,
Navneet Dhaliwal,Canada,Middle order Batter,false,false,false,,,
Aaron Johnson,Canada,Batter,false,false,false,,,
Shreyas Movva,Canada,Wicketkeeper Batter,false,false,false,,,
Ravinderpal Singh,Canada,Batter,false,false,false,,,
Saad Bin Zafar,Canada,Allrounder,false,true,false,,,
Dilpreet Bajwa,Canada,Allrounder,false,false,false,,,
Junaid Siddiqui,Canada,Allrounder,false,false,false,,,
Nicholas Kirton,Canada,Batting Allrounder,false,false,false,,,
Pargat Singh,Canada,Allrounder,false,false,false,,,
Rayyan Pathan,Canada,Batting Allrounder,false,false,false,,,
Harsh Thaker,Canada,Allrounder,true,false,false,,,
Nikhil Dutta,Canada,Bowler,false,false,false,,,
Jeremy Gordon,Canada,Bowler,false,false,false,,,
Dilon Heyliger,Canada,Bowler,false,false,false,,,
Rishiv Joshi,Canada,Bowler,false,false,false,,,
Kaleem Sana,Canada,Bowler,false,false,false,,,
Jos Buttler,England,Wicketkeeper Batter,false,true,false,,,
Jonny Bairstow,England,Wicketkeeper Batter,false,false,false,,,
Harry Brook,England,Batter,false,false,false,,,
Ben Duckett,England,Top order Batter,false,false,false,,,
Phil Salt,England,Wicketkeeper Batter,false,false,false,,,
Moeen Ali,England,Batting Allrounder,false,false,false,,,
Sam Curran,England,Allrounder,false,false,false,,,
Will Jacks,England,Batting Allrounder,false,false,false,,,
Liam Livingstone,England,Batting Allrounder,false,false,false,,,
Jofra Archer,England,Bowler,false,false,false,,,
Tom Hartley,England,Bowler,false,false,false,,,
Chris Jordan,England,Bowler,false,false,false,,,
Adil Rashid,England,Bowler,false,false,false,,,
Reece Topley,England,Bowler,false,false,false,,,
Mark Wood,England,Bowler,false,false,false,,,
Rohit Sharma,India,Top order Batter,false,true,false,,,
Yashasvi Jaiswal,India,Opening Batter,false,false,false,,,
Virat Kohli,India,Top order Batter,false,false,false,,,
Rishabh Pant,India,Wicketkeeper Batter,false,false,false,,,
Sanju Samson,India,Wicketkeeper Batter,false,false,false,,,
Suryakumar Yadav,India,Batter,false,false,false,,,
Hardik Pandya,India,Allrounder,false,false,true,,,
Shivam Dube,India,Allrounder,false,false,false,,,
Ravindra Jadeja,India,Allrounder,false,false,false,,,
Axar Patel,India,Allrounder,false,false,false,,,
Arshdeep Singh,India,Bowler,false,false,false,,,
Jasprit Bumrah,India,Bowler,false,false,false,,,
Yuzvendra Chahal,India,Bowler,false,false,false,,,
Kuldeep Yadav,India,Bowler,false,false,false,,,
Mohammed Siraj,India,Bowler,false,false,false,,,
Ross Adair,Ireland,Top order Batter,false,false,false,,,
Andy Balbirnie,Ireland,Batter,false,false,false,,,
Neil Rock,Ireland,Wicketkeeper Batter,false,false,false,,,
Harry Tector,Ireland,Middle order Batter,false,false,false,,,
Lorcan Tucker,Ireland,Wicketkeeper Batter,false,false,false,,,
Paul Stirling,Ireland,Batting Allrounder,false,true,false,,,
Mark Adair,Ireland,Bowling Allrounder,false,false,false,,,
Curtis Campher,Ireland,Allrounder,false,false,false,,,
Gareth Delany,Ireland,Batting Allrounder,false,false,false,,,
George Dockrell,Ireland,Allrounder,false,false,false,,,
Graham Hume,Ireland,Bowler,false,false,false,,,
Josh Little,Ireland,Bowler,false,false,false,,,
Barry McCarthy,Ireland,Bowler,false,false,false,,,
Ben White,Ireland,Bowler,false,false,false,,,
Craig Young,Ireland,Bowler,false,false,false,,,
Nikolaas Davin,Namibia,Batter,false,false,false,,,
Zane Green,Namibia,Wicketkeeper Batter,false,false,false,,,
JP Kotze,Namibia,Batter,false,false,false,,,
Malan Kruger,Namibia,Batter,false,false,false,,,
Dylan Leicher,Namibia,Middle order Batter,false,false,false,,,
Gerhard Erasmus,Namibia,Allrounder,false,true,false,,,
JJ Smit,Namibia,Bowling Allrounder,false,false,true,,,
Jan Frylinck,Namibia,Allrounder,false,false,false,,,
Michael van Lingen,Namibia,Bowling Allrounder,false,false,false,,,
David Wiese,Namibia,Allrounder,false,false,false,,,
Peter-Daniel Blignaut,Namibia,Bowler,false,false,false,,,
Jack Brassell,Namibia,Bowler,false,false,false,,,
Tangeni Lungameni,Namibia,Bowler,false,false,false,,,
Bernard Scholtz,Namibia,Bowler,false,false,false,,,
Ben Shikongo,Namibia,Bowler,false,false,false,,,
Ruben Trumpelmann,Namibia,Bowler,false,false,false,,,
Aasif Sheikh,Nepal,Wicketkeeper Batter,false,false,false,,,
Dipendra Singh Airee,Nepal,Middle order Batter,false,false,false,,,
Kushal Bhurtel,Nepal,Opening Batter,false,false,false,,,
Sundeep Jora,Nepal,Middle order Batter,false,false,false,,,
Anil Sah,Nepal,Wicketkeeper,false,false,false,,,
Rohit Paudel,Nepal,Batting Allrounder,false,true,false,,,
Karan KC,Nepal,Allrounder,false,false,false,,,
Kushal Malla,Nepal,Batting Allrounder,false,false,false,,,
Sompal Kami,Nepal,Bowling Allrounder,false,false,false,,,
Pratis GC,Nepal,Bowling Allrounder,true,false,false,,,
Kamal Airee,Nepal,Bowler,false,false,false,,,
Abinash Bohara,Nepal,Bowler,false,false,false,,,
Sagar Dhakal,Nepal,Bowler,false,false,false,,,
Gulsan Jha,Nepal,Bowler,false,false,false,,,
Sandeep Lamichhane,Nepal,Bowler,false,false,false,,,
Lalit Rajbanshi,Nepal,Bowler,false,false,false,,,
Scott Edwards,Netherlands,Wicketkeeper Batter,false,true,false,,,
Wesley Barresi,Netherlands,Batter,false,false,false,,,
Michael Levitt,Netherlands,Top order Batter,false,false,false,,,
Max O'Dowd,Netherlands,Opening Batter,false,false,false,,,
Vikramjit Singh,Netherlands,Opening Batter,false,false,false,,,
Bas de Leede,Netherlands,Batting Allrounder,false,false,false,,,
Sybrand Engelbrecht,Netherlands,Allrounder,false,false,false,,,
Teja Nidamanuru,Netherlands,Allrounder,false,false,false,,,
Tim Pringle,Netherlands,Allrounder,false,false,false,,,
Saqib Zulfiqar,Netherlands,Bowling Allrounder,false,false,false,,,
Aryan Dutt,Netherlands,Bowler,false,false,false,,,
Vivian Kingma,Netherlands,Bowler,false,false,false,,,
Kyle Klein,Netherlands,Bowler,false,false,false,,,
Logan van Beek,Netherlands,Bowler,false,false,false,,,
Paul van Meekeren,Netherlands,Bowler,false,false,false,,,
Daniel Doram,Netherlands,Bowler,true,false,false,,,
Fred Klaassen,Netherlands,Bowler,true,false,false,,,
Kane Williamson,New Zealand,Top order Batter,false,true,false,,,
Finn Allen,New Zealand,Top order Batter,false,false,false,,,
Devon Conway,New Zealand,Wicketkeeper Batter,false,false,false,,,
Michael Bracewell,New Zealand,Batting Allrounder,false,false,false,,,
Mark Chapman,New Zealand,Allrounder,false,false,false,,,
Daryl Mitchell,New Zealand,Batting Allrounder,false,false,false,,,
James Neesham,New Zealand,Batting Allrounder,false,false,false,,,
Glenn Phillips,New Zealand,Allrounder,false,false,false,,,
Rachin Ravindra,New Zealand,Batting Allrounder,false,false,false,,,
Mitchell Santner,New Zealand,Bowling Allrounder,false,false,false,,,
Trent Boult,New Zealand,Bowler,false,false,false,,,
Lockie Ferguson,New Zealand,Bowler,false,false,false,,,
Matt Henry,New Zealand,Bowler,false,false,false,,,
Ish Sodhi,New Zealand,Bowler,false,false,false,,,
Tim Southee,New Zealand,Bowler,false,false,false,,,
Aqib Ilyas,Oman,Top order Batter,false,true,false,,,
Pratik Athavale,Oman,Wicketkeeper Batter,false,false,false,,,
Khalid Kail,Oman,Middle order Batter,false,false,false,,,
Mehran Khan,Oman,Batter,false,false,false,,,
Naseem Khushi,Oman,Wicketkeeper,false,false,false,,,
Kashyap Prajapati,Oman,Top order Batter,false,false,false,,,
Shoaib Khan,Oman,Batter,false,false,false,,,
Zeeshan Maqsood,Oman,Opening Batter,false,false,false,,,
Ayaan Khan,Oman,Allrounder,false,false,false,,,
Mohammad Nadeem,Oman,Allrounder,false,false,false,,,
Bilal Khan,Oman,Bowler,false,false,false,,,
Fayyaz Butt,Oman,Bowler,false,false,false,,,
Kaleemullah,Oman,Bowler,false,false,false,,,
Rafiullah,Oman,Bowler,false,false,false,,,
Shakeel Ahmed,Oman,Bowler,false,false,false,,,
Babar Azam,Pakistan,Batter,false,true,false,,,
Azam Khan,Pakistan,Wicketkeeper Batter,false,false,false,,,
Fakhar Zaman,Pakistan,Opening Batter,false,false,false,,,
Iftikhar Ahmed,Pakistan,Middle order Batter,false,false,false,,,
Mohammad Rizwan,Pakistan,Wicketkeeper Batter,false,false,false,,,
Saim Ayub,Pakistan,Top order Batter,false,false,false,,,
Usman Khan,Pakistan,Top order Batter,false,false,false,,,
Imad Wasim,Pakistan,Allrounder,false,false,false,,,
Shadab Khan,Pakistan,Allrounder,false,false,false,,,
Abbas Afridi,Pakistan,Bowler,false,false,false,,,
Abrar Ahmed,Pakistan,Bowler,false,false,false,,,
Haris Rauf,Pakistan,Bowler,false,false,false,,,
Mohammad Amir,Pakistan,Bowler,false,false,false,,,
Naseem Shah,Pakistan,Bowler,false,false,false,,,
Shaheen Shah Afridi,Pakistan,Bowler,false,false,false,,,
Assad Vala,Papua New Guinea,Batter,false,true,false,,,
Sese Bau,Papua New Guinea,Middle order Batter,false,false,false,,,
Kiplin Doriga,Papua New Guinea,Wicketkeeper Batter,false,false,false,,,
Hiri Hiri,Papua New Guinea,Middle order Batter,false,false,false,,,
Lega Siaka,Papua New Guinea,Opening Batter,false,false,false,,,
Tony Ura,Papua New Guinea,Opening Batter,false,false,false,,,
Hila Vare,Papua New Guinea,Batter,false,false,false,,,
Charles Amini,Papua New Guinea,Allrounder,false,false,true,,,
Jack Gardner,Papua New Guinea,Bowler,false,false,false,,,
Semo Kamea,Papua New Guinea,Bowler,false,false,false,,,
John Kariko,Papua New Guinea,Bowler,false,false,false,,,
Kabua Morea,Papua New Guinea,Bowler,false,false,false,,,
Alei Nao,Papua New Guinea,Bowler,false,false,false,,,
Chad Soper,Papua New Guinea,Bowler,false,false,false,,,
Norman Vanua,Papua New Guinea,Bowler,false,false,false,,,
Richie Berrington,Scotland,Top order Batter,false,true,false,,,
Matthew Cross,Scotland,Wicketkeeper Batter,false,false,false,,,
Ollie Hairs,Scotland,Opening Batter,false,false,false,,,
Michael Jones,Scotland,Top order Batter,false,false,false,,,
George Munsey,Scotland,Opening Batter,false,false,false,,,
Charlie Tear,Scotland,Wicketkeeper Batter,false,false,false,,,
Michael Leask,Scotland,Allrounder,false,false,false,,,
Brandon McMullen,Scotland,Batting Allrounder,false,false,false,,,
Brad Currie,Scotland,Bowler,false,false,false,,,
Chris Greaves,Scotland,Bowler,false,false,false,,,
Jack Jarvis,Scotland,Bowler,false,false,false,,,
Safyaan Sharif,Scotland,Bowler,false,false,false,,,
Chris Sole,Scotland,Bowler,false,false,false,,,
Mark Watt,Scotland,Bowler,false,false,false,,,
Brad Wheal,Scotland,Bowler,false,false,false,,,
Aiden Markram,South Africa,Opening Batter,false,true,false,,,
Quinton de Kock,South Africa,Wicketkeeper Batter,false,false,false,,,
Reeza Hendricks,South Africa,Opening Batter,false,false,false,,,
Heinrich Klaasen,South Africa,Wicketkeeper Batter,false,false,false,,,
David Miller,South Africa,Middle order Batter,false,false,false,,,
Ryan Rickelton,South Africa,Wicketkeeper Batter,false,false,false,,,
Tristan Stubbs,South Africa,Batter,false,false,false,,,
Marco Jansen,South Africa,Bowling Allrounder,false,false,false,,,
Ottneil Baartman,South Africa,Bowler,false,false,false,,,
Gerald Coetzee,South Africa,Bowler,false,false,false,,,
Bjorn Fortuin,South Africa,Bowler,false,false,false,,,
Keshav Maharaj,South Africa,Bowler,false,false,false,,,
Anrich Nortje,South Africa,Bowler,false,false,false,,,
Kagiso Rabada,South Africa,Bowler,false,false,false,,,
Tabraiz Shamsi,South Africa,Bowler,false,false,false,,,
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,false,false,false,,,
Pathum Nissanka,Sri Lanka,Top order Batter,false,false,false,,,
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,false,false,false,,,
Wanindu Hasaranga,Sri Lanka,Allrounder,false,true,false,,,
Charith Asalanka,Sri Lanka,Batting Allrounder,false,false,true,,,
Dhananjaya de Silva,Sri Lanka,Allrounder,false,false,false,,,
Angelo Mathews,Sri Lanka,Allrounder,false,false,false,,,
